Character,Word,Word Count
138,a,4
138,and,1
138,funeral,2
138,gone,1
138,have,1
138,irving,1
138,is,1
138,like,1
138,not,1
138,party,1
138,person,1
138,retirement,1
138,right,1
138,so,1
138,to,1
287,okay,1
Alexa,a,8
Alexa,about,6
Alexa,actually,1
Alexa,all,1
Alexa,also,1
Alexa,an,1
Alexa,and,4
Alexa,anything,2
Alexa,apart,1
Alexa,are,8
Alexa,as,3
Alexa,at,1
Alexa,back,1
Alexa,be,1
Alexa,been,1
Alexa,being,1
Alexa,big,1
Alexa,birth,1
Alexa,but,2
Alexa,by,1
Alexa,can,4
Alexa,car,1
Alexa,cold,1
Alexa,comes,1
Alexa,coming,1
Alexa,common,1
Alexa,consultants,1
Alexa,contractions,1
Alexa,cool,1
Alexa,could,2
Alexa,course,1
Alexa,cries,1
Alexa,crowning,1
Alexa,day,2
Alexa,depending,1
Alexa,depraved,1
Alexa,did,3
Alexa,do,3
Alexa,doing,3
Alexa,eight,1
Alexa,ever,1
Alexa,every,1
Alexa,exist,1
Alexa,feels,1
Alexa,fine,2
Alexa,fit,1
Alexa,for,6
Alexa,forget,2
Alexa,from,1
Alexa,funny,1
Alexa,get,2
Alexa,girlfriend,1
Alexa,giving,1
Alexa,go,2
Alexa,gonna,2
Alexa,good,2
Alexa,goodbye,1
Alexa,great,2
Alexa,guys,1
Alexa,half,1
Alexa,hand,1
Alexa,happened,1
Alexa,happening,1
Alexa,have,3
Alexa,having,1
Alexa,he,1
Alexa,head,1
Alexa,healthy,2
Alexa,heard,1
Alexa,heavy,1
Alexa,her,6
Alexa,here,7
Alexa,hey,6
Alexa,home,1
Alexa,hour,1
Alexa,hours,1
Alexa,housing,1
Alexa,how,2
Alexa,hurts,1
Alexa,i,14
Alexa,if,3
Alexa,in,6
Alexa,into,1
Alexa,is,4
Alexa,it,7
Alexa,jugs,1
Alexa,just,6
Alexa,kidding,1
Alexa,kids,2
Alexa,know,7
Alexa,lactation,1
Alexa,life,1
Alexa,like,3
Alexa,live,1
Alexa,local,1
Alexa,look,1
Alexa,lumon,2
Alexa,mark,1
Alexa,married,1
Alexa,me,2
Alexa,mean,1
Alexa,meant,1
Alexa,mess,2
Alexa,met,1
Alexa,midwife,1
Alexa,minnesota,1
Alexa,minutes,1
Alexa,mmm,1
Alexa,montana,2
Alexa,more,1
Alexa,mostly,1
Alexa,much,1
Alexa,my,2
Alexa,names,1
Alexa,no,7
Alexa,not,3
Alexa,note,1
