Season,Episode Number,Episode Title,Character,Dialogue,Timestamp,TalkingTo
1,1,Good News About Hell (Transcript),Mark,Who are you?,1900-01-01 00:00:14,Helly
1,1,Good News About Hell (Transcript),Mark,Who are you?,1900-01-01 00:00:26,Helly
1,1,Good News About Hell (Transcript),Helly,Hello?,1900-01-01 00:00:49,Mark
1,1,Good News About Hell (Transcript),Mark,"I’m sorry, I got ahead of myself.",1900-01-01 00:00:58,Helly
1,1,Good News About Hell (Transcript),Mark,"Hi there, you on the table. I wonder if you’d mind taking a brief survey.",1900-01-01 00:01:02,Helly
1,1,Good News About Hell (Transcript),Helly,Who is that?,1900-01-01 00:01:07,Mark
1,1,Good News About Hell (Transcript),Mark,Five questions.,1900-01-01 00:01:09,Helly
1,1,Good News About Hell (Transcript),Mark,"Now, I know you’re sleepy, but I just bet it’ll make you feel right as rain.",1900-01-01 00:01:10,Helly
1,1,Good News About Hell (Transcript),Helly,Who’s speaking?,1900-01-01 00:01:16,Mark
1,1,Good News About Hell (Transcript),Helly,"Oh, God.",1900-01-01 00:01:27,Mark
1,1,Good News About Hell (Transcript),Helly,Hey! Open the door!,1900-01-01 00:01:37,Mark
1,1,Good News About Hell (Transcript),Mark,I’d be just thrilled to chat once we’ve run the survey. Shall we begin with question one?,1900-01-01 00:01:47,Helly
1,1,Good News About Hell (Transcript),Helly,I’m not taking your survey.,1900-01-01 00:01:54,Mark
1,1,Good News About Hell (Transcript),Mark,Shall we begin with question one?,1900-01-01 00:01:57,Helly
1,1,Good News About Hell (Transcript),Helly,Let me out of here.,1900-01-01 00:02:02,Mark
1,1,Good News About Hell (Transcript),Helly,Hey!,1900-01-01 00:02:08,Mark
1,1,Good News About Hell (Transcript),Helly,Open the door!,1900-01-01 00:02:10,Mark
1,1,Good News About Hell (Transcript),Helly,Fuck.,1900-01-01 00:02:13,Mark
1,1,Good News About Hell (Transcript),Helly,Hey! Let me out!,1900-01-01 00:02:15,Mark
1,1,Good News About Hell (Transcript),Helly,Hey.,1900-01-01 00:02:41,Mark
1,1,Good News About Hell (Transcript),Mark,Hello.,1900-01-01 00:02:44,Helly
1,1,Good News About Hell (Transcript),Helly,Five questions?,1900-01-01 00:02:46,Mark
