,Character,Season,Episode_num,Episode_title,Instance,Dialogue
0,Mark,1,1,Good News About Hell,1,"You see, you have been hired to a position on the Severed Floor of Lumon Industries."
1,Mark,1,1,Good News About Hell,2,"I understand you’re confused about the severance procedure. Before we hop on that, let’s chat about something I bet you have heard of, the work/life balance. To start, imagine yourself as a seesaw."
2,Helly,1,1,Good News About Hell,3,"My name is Helly R. I’m making this video roughly two hours before it will be shown to me. I have, of my own free accord, elected to undergo the procedure colloquially known as severance. I give consent for my perceptual chronologies to be surgically split, separating my memories between my work life and my personal life. I acknowledge that, henceforth, my access to my memories will be spatially dictated. I will be unable to access outside recollections whilst on Lumon’s severed basement floor, nor retain work memories upon my ascent. I am aware that this alteration is comprehensive and irreversible. I make these statements freely."
3,Helly,1,1,Good News About Hell,4,"My name is Helly R. I’m making this video roughly two hours before it will be shown to me. I have, of my own free accord, elected to undergo the procedure colloquially known as severance. I give consent for my perceptual chronologies to be surgically split, separating my memories between my work life and my personal life. I acknowledge that, henceforth, my access to my memories will be spatially dictated. I will be unable to access outside recollections whilst on Lumon’s severed basement floor, nor retain work memories upon my ascent. I am aware that this alteration is comprehensive and irreversible. I make these statements freely."
4,Ricken,1,1,Good News About Hell,5,Mark’s work is sensitive enough as to require the severance procedure.
5,Petey,1,1,Good News About Hell,6,Severed. Severed. I was.
6,Petey,1,1,Good News About Hell,7,Severed. Severed. I was.
7,Mark,1,1,Good News About Hell,8,"Okay. Well, severance is pretty permanent."
8,Helly,1,2,Half Loop,9,"I acknowledge that, henceforth, my access to my memories will be spatially dictated. I will be unable to access outside recollections whilst on Lumon’s severed basement floor, nor retain work memories upon my ascent. I am aware that this alteration is comprehensive and irreversible. I make these statements freely."
9,Milchick,1,2,Half Loop,10,"So, your work personage will be waking in a few hours on the severed floor. But the next time you yourself will be sentient will be this evening, in the elevator back up."
10,Milchick,1,2,Half Loop,11,"Okay, so sometimes when a new hire is adjusting to a severed space, we help by bringing them here to the stairwell, to experience the transition viscerally."
11,WMC Activist 2,1,2,Half Loop,12,And legalized severance in the workplace?
12,WMC Activist 1,1,2,Half Loop,13,Most severed workers don’t see the sun their whole lives.
13,WMC Activist 1,1,2,Half Loop,14,We’re trying to get a measure on the ballot to keep mega-corporations like Lumon from continuing to force legalized severance on our state.
14,WMC Activist 2,1,2,Half Loop,15,That’s what they’re lobbying for. And Jame Eagan is trying to sever kids…
15,Mark,1,2,Half Loop,16,"Okay, well, what about the self-mutilating types who do it willingly? I mean, I heard that some of them are so deluded they don’t even know they’re victims. I also heard that if you’re severed, you go to two separate hells. Is that true?"
16,WMC Activist 1,1,2,Half Loop,17,"Severance is subjugation, asshole."
17,Mark,1,2,Half Loop,18,"Mr. Milchick, it’s Mark Scout. I’m a severed worker. Employee number 4502."
18,Dylan,1,2,Half Loop,19,"Yeah. Think about it. Okay, if our Outies are up there severing their brains, shit must have gotten pretty bad. Famine, plagues, et cetera. So what is a desperate humanity to do?"
19,Petey,1,2,Half Loop,20,"I don’t know. I thought without severance it would make more sense, but… They separate us from the other departments. We don’t even know how many there are. But I’ve been reintegrated for two weeks now. I’ve been mapping out the floor. I hid the original for you when I left."
20,Petey,1,3,In Perpetuity,21,“They” is a group of people that know severance is a blight on mankind. And they’re gonna do something about it.
21,Steven,1,3,In Perpetuity,22,"But what do you say, Natalie, to the woman who became pregnant at work less than a month after her company went severed?"
22,Natalie,1,3,In Perpetuity,23,That has nothing to do with what we do at Lumon nor any severance procedure.
23,Natalie,1,3,In Perpetuity,24,"Okay. So, the Board is conveying pretty strongly that the severance procedure is provenly irreversible."
24,Natalie,1,3,In Perpetuity,25,And that this knowledge should be a given for a person managing a severed floor.
25,Mark,1,4,The You You Are,26,So why would they be on a map of the severed floor?
26,Ricken (voicemail),1,5,The Grim Barbarity of Optics and Design,27,"\\Hi, Mark, it’s Ricken. Listen, I know you’re still in, um, severed Mark form, but, uh, Devon’s at 4 centimeters, so, this baby is officially coming. Uh, we’re headed to the birthing retreat now, so, please come."
27,Dylan,1,6,Hide and Seek,28,"Well, maybe love transcends severance."
28,Reghabi,1,7,Defiant Jazz,29,"Then again, you’ve been severed for two years, right? So your Innie really is still just a baby."
29,Reghabi,1,7,Defiant Jazz,30,He’s Doug Graner. Head of security on the severed floor.
30,Devon,1,7,Defiant Jazz,31,"Mark’s company, Lumon, they say that they only sever people for work. But I was thinking, what if someone… Like, what if you wanted a baby, but you didn’t wanna…"
31,Cobel,1,7,Defiant Jazz,32,Severed. Why do you think Mark did it?
32,Irving,1,7,Defiant Jazz,33,"You’re not severed. You walk out of here with your memories. You carry them home with you every night. No one can rip them away from you, snuff them out. Like they never existed. Like you never existed!"
