Word,Word Count
a,843
ab,1
abandon,3
abdominal,1
abhorrent,1
abide,1
able,3
abominable,1
about,181
above,1
abroad,1
absence,1
absolute,2
absolutely,5
absorb,1
abstaining,1
absurd,1
abused,1
abuses,1
acceded,1
accept,5
accepts,1
access,9
accessory,1
accident,3
accidentally,1
acclimating,1
accommodate,1
accompanied,1
accompany,1
accomplished,1
accord,1
according,1
accosted,1
accountable,1
accountant,1
accrued,1
ached,1
achieve,1
achieved,1
achievement,1
acknowledge,2
acknowledged,1
across,3
acrostic,1
act,1
acting,2
action,1
actions,8
actively,1
activity,1
actual,4
actually,41
address,1
addressing,1
adjusting,1
administrative,1
admiring,2
adopting,1
adored,1
adrift,1
adults,1
advance,1
advanced,2
advantage,1
adventure,1
advisory,1
affected,3
affections,2
affects,1
affordably,1
afraid,11
after,25
afterimage,1
afternoon,2
afterward,1
afterwards,1
again,45
against,5
age,1
agendum,1
ages,2
aggressive,4
aggressor,1
agitated,1
ago,17
agog,1
agree,8
agreed,2
ah,4
ahead,10
aiding,1
air,1
airport,1
alarm,1
alarmist,2
alcohol,1
alcoholic,1
alert,4
alexa,5
alice,1
alive,16
all,224
allentown,1
allergic,2
allergy,1
alleyway,1
allies,3
allow,2
allowed,4
allowing,1
allows,1
almonds,1
almost,4
alone,10
along,6
alpha,1
already,19
also,23
alteration,2
altercation,1
alternatively,1
although,1
always,20
am,55
amazing,2
ambrose,3
ambulance,2
among,3
amongst,1
amount,1
ample,1
an,112
ancient,1
and,722
angel,2
angelo,3
anger,1
angle,1
angry,2
animal,3
animals,1
animatronic,1
annals,1
anniversary,1
announcement,1
announcements,3
anonymously,1
another,23
answer,9
answered,2
answering,1
answers,2
ant,1
anticipation,1
ants,2
any,35
anybody,2
anymore,9
anyone,14
anything,37
anytime,1
anyway,10
anywhere,7
apart,3
apartment,4
apologies,2
apologize,7
apologized,3
apologizes,2
apology,4
app,1
apparently,9
appeal,1
appendage,1
appendix,4
applause,1
apple,1
application,2
appreciate,1
appreciated,4
appreciates,1
appreciation,2
apprentice,1
approach,1
approbations,1
appropriate,1
approve,2
approved,1
approves,1
appétit,1
archives,2
are,341
area,1
areola,2
arguments,1
arm,1
arms,4
around,31
arrange,1
arranged,1
arrangements,1
arrive,1
arriving,1
arrogance,1
arrow,1
arrows,1
art,4
arteta,2
article,1
artwork,1
as,145
asal,1
ascendance,1
ascent,2
ashamed,1
asher,1
ask,26
asked,9
asking,10
asks,3
asleep,1
ass,4
assault,1
asshole,6
assholes,3
assume,5
assumed,2
assuming,4
assure,2
astute,1
at,199
ate,2
atheist,1
atone,7
atonements,1
atrocities,1
attack,4
attacked,1
attempted,1
attempts,2
attend,1
attendance,2
attendees,1
attending,1
attends,1
attila,3
attractive,1
attuned,1
audience,1
augmented,1
auras,1
austerely,1
author,1
authored,1
authorities,1
authorized,1
available,4
availed,1
average,1
avoid,2
await,1
awaits,1
awake,1
awaken,2
award,1
aware,8
away,19
awesome,10
awful,2
awkward,1
awoke,1
awoken,1
ax,1
b,8
babe,9
babies,1
baby,35
babysitter,1
back,106
backstage,1
bad,26
badass,3
badge,1
badges,1
bag,2
baggage,1
bailiff,2
baird,2
balance,3
balf,2
ball,1
ballad,1
balloons,4
ballot,1
balls,1
baltic,1
band,2
banished,1
bar,5
barbarities,1
barbarity,1
barber,1
barbs,1
bardo,1
barely,2
bargaining,1
barrier,1
barriers,1
base,1
based,2
basement,8
basically,3
basics,1
basin,1
bath,2
bathing,1
bathroom,6
bay,1
be,330
beach,1
beans,1
bear,3
bearded,1
beast,1
beat,3
beaten,1
beautiful,8
beauty,2
became,6
because,59
become,3
becomes,1
bed,7
bedevil,1
bedrock,1
bedroll,1
bedroom,1
beds,4
bedsheets,1
been,123
beer,2
beers,1
bees,1
before,47
beforehand,1
beg,1
began,1
beget,1
beggars,1
begged,1
begin,8
beginning,1
begins,1
begun,1
behave,1
behavior,3
behind,14
being,32
belayed,1
believe,12
believed,1
believer,1
bell,1
bellies,2
belonged,1
belongs,1
beloved,2
below,1
belt,4
bend,2
beneath,1
benefit,2
benefits,2
benevolence,1
bereavement,2
beseeched,1
besides,2
best,20
bet,13
beta,1
better,25
betterment,2
between,8
bewailing,1
beyond,4
biceps,1
bifurcated,1
big,9
billings,1
bills,1
bin,2
bingo,3
bins,2
bird,1
birth,7
birthday,1
birthing,7
bistro,1
bit,3
biting,2
black,11
blank,1
bleating,1
bleeding,3
bleeds,1
bless,2
blessed,1
blessings,2
blight,2
blighted,1
blind,1
bloat,1
block,3
blocks,1
blood,4
bloody,1
blossomed,1
blow,2
blue,2
blueprints,2
blunt,1
blurs,1
board,38
boasting,1
bodies,1
body,10
bomb,2
bon,3
bond,1
bonded,1
book,17
books,1
boom,4
boot,1
booty,2
bored,1
boredom,1
boring,2
born,7
bosom,1
boss,12
bosses,1
both,24
bottle,3
bought,1
boulders,3
bounce,1
bounteous,1
bounty,1
bowels,1
boxes,3
boy,4
boyhood,1
bpm,1
bradley,2
brag,1
brain,10
brains,1
brambles,1
branch,5
brave,2
break,29
breakfast,5
breaks,1
breath,3
breathe,1
breathed,1
breathing,4
breeze,1
bride,1
bridge,1
brief,4
briefly,3
brightened,1
