Season,Episode,Character,Dialogue,Timestamp
1,1,Mark,Who are you?,00:00:14
1,1,Mark,Who are you?,00:00:26
1,1,Helly,Hello?,00:00:49
1,1,Mark,"I’m sorry, I got ahead of myself.",00:00:58
1,1,Mark,"Hi there, you on the table. I wonder if you’d mind taking a brief survey.",00:01:02
1,1,Helly,Who is that?,00:01:07
1,1,Mark,Five questions.,00:01:09
1,1,Mark,"Now, I know you’re sleepy, but I just bet it’ll make you feel right as rain.",00:01:10
1,1,Helly,Who’s speaking?,00:01:16
1,1,Helly,"Oh, God.",00:01:27
1,1,Helly,Hey! Open the door!,00:01:37
1,1,Mark,I’d be just thrilled to chat once we’ve run the survey. Shall we begin with question one?,00:01:47
1,1,Helly,I’m not taking your survey.,00:01:54
1,1,Mark,Shall we begin with question one?,00:01:57
1,1,Helly,Let me out of here.,00:02:02
1,1,Helly,Hey!,00:02:08
1,1,Helly,Open the door!,00:02:10
1,1,Helly,Fuck.,00:02:13
1,1,Helly,Hey! Let me out!,00:02:15
1,1,Helly,Hey.,00:02:41
1,1,Mark,Hello.,00:02:44
1,1,Helly,Five questions?,00:02:46
1,1,Mark,Five questions.,00:02:48
1,1,Helly,What do I get at the end?,00:02:51
1,1,Mark,Depends on your answers.,00:02:54
1,1,Helly,Okay.,00:02:59
1,1,Mark,"Great. Off we go. Now to start, who are you?",00:03:01
1,1,Helly,That’s the first question?,00:03:06
1,1,Mark,First name will do.,00:03:09
1,1,Helly,I don’t…,00:03:24
1,1,Mark,"It’s okay. If you can’t answer the question, feel free to say, “unknown.”",00:03:26
1,1,Helly,What is this?,00:03:32
1,1,Mark,"Okay, unknown.",00:03:34
1,1,Mark,"Question two, in which US state or territory were you born?",00:03:35
1,1,Helly,Wait.,00:03:39
1,1,Mark,"Which state or territory, please?",00:03:39
1,1,Helly,I don’t know.,00:03:42
1,1,Mark,Unknown.,00:03:42
1,1,Mark,"Question three, please name any US state or territory.",00:03:44
1,1,Helly,Fuck. I…,00:03:48
1,1,Mark,First that comes to mind.,00:03:48
1,1,Helly,I don’t know. Delaware. What is this?,00:03:49
1,1,Mark,Delaware.,00:03:49
1,1,Mark,"Question four, what is Mr. Eagan’s favorite breakfast?",00:03:52
1,1,Helly,I don’t… That one makes no sense.,00:03:57
1,1,Mark,"Right? Unknown. Question five. And as a reminder, this is the final question. To the best of your memory, what is or was the color of your mother’s eyes?",00:03:58
1,1,Helly,"Okay, what’s hap… What’s happening?",00:04:27
1,1,Mark,"Unknown. So that’s unknown, unknown, Delaware, unknown, unknown.",00:04:29
1,1,Helly,What the hell did you do to me?,00:04:38
1,1,Mark,That’s a perfect score.,00:04:51
1,1,Florence,Are you ready for Mr. Scout?,00:06:49
1,1,Florence,Thank you.,00:07:00
1,1,Florence,Go ahead.,00:07:05
1,1,Judd,Mr. Scout.,00:08:31
1,1,Mark,"Hi, Judd.",00:08:33
1,1,Judd,"All right, see you this evening.",00:08:44
1,1,Mark,"Yep, see you soon.",00:08:44
1,1,Dylan,You’re breathing shitty.,00:11:16
1,1,Mark,Sorry.,00:11:16
1,1,Dylan,You sick?,00:11:17
1,1,Mark,Maybe. Petey was sniffling yesterday.,00:11:19
1,1,Dylan,"If you breathe on me, I’ll rip your larynx out.",00:11:21
1,1,Mark,Wow. That went right to ten. I feel like ripping out my germ-ridden larynx would get you sicker than just me breathing on you.,00:11:23
1,1,Mark,Oh.,00:11:33
1,1,Dylan,"Petey better not be out for the day, ’cause I’m about zero seconds from wrapping the Tumwater file, and he needs to process it.",00:11:35
1,1,Mark,I think he’s out.,00:11:40
1,1,Dylan,"If he doesn’t process today, they won’t know until Tuesday of next week. It’s typical Lumon bullshit.",00:11:43
1,1,Mark,"Careful, guy.",00:11:47
1,1,Irving,"Hi, kids. What’s for dinner?",00:11:50
1,1,Dylan,"Goddamn it, Irv. We warned you.",00:11:52
1,1,Irving,About the greeting? You were kidding.,00:11:54
1,1,Dylan,"No, we sincerely hate it. How many reasons did we come up with?",00:11:55
1,1,Mark,Eight.,00:12:00
1,1,Dylan,Eight reasons.,00:12:00
1,1,Dylan,Chief among them the latent condescension.,00:12:02
1,1,Mark,"And it’s confusing. Like, did the kids make you dinner in this scenario? Or…",00:12:05
1,1,Dylan,Yeah. What kind of a shit dad are you?,00:12:08
1,1,Irving,No Petey?,00:12:12
1,1,Mark,We think he’s sick.,00:12:12
1,1,Irving,"Oh, no. And Dylan’s about to wrap Tumwater today.",00:12:14
1,1,Dylan,"Yeah, and if he doesn’t see me finish, I might get passed over for refiner of the quarter and miss out on my goddamn waffle party.",00:12:17
1,1,Irving,"Grumble, grumble. These perks are so out of hand. When we’d process a file in the old days, they’d shake our hand and fill up the creamer.",00:12:23
1,1,Dylan,I still don’t buy they actually incentivized creamer.,00:12:30
1,1,Irving,"They did. And back then, we were grateful for it.",00:12:32
1,1,Dylan,"That’s fucked, dude.",00:12:35
1,1,Irving,"Yes, very fucked. To put in an honest day’s work and not get a children’s breakfast in return.",00:12:37
1,1,Dylan,Irv’s got claws today.,00:12:43
1,1,Milchick,"Good morning, Macrodata Refinement.",00:12:46
1,1,Irving,"Hi, Mr. Milchick.",00:12:49
1,1,Milchick,"Mark, could I have a word?",00:12:51
1,1,Milchick,"Last time you saw Ms. Cobel, she was in her old office. Now she’s in her new office. It’s a completely different office.",00:13:23
1,1,Mark,What’s this about?,00:13:31
1,1,Milchick,"She’d never say so, but I know a compliment about the office would just make her day.",00:13:32
1,1,Cobel,Mark? Come in. Shut the thing.,00:13:47
1,1,Mark,Nice office.,00:13:51
1,1,Cobel,It’s horrid.,00:13:52
